precinct,name,member_key,brookline_by_design,brookline_by_design_source_name,brookline_for_everyone,brookline_for_everyone_source_name,endorsement_bucket
12,"Dolbear, Emily","Dolbear, Emily (Precinct 12)",yes,Emily Dolbear,no,,brookline_by_design
12,"Friedman, Harry K.","Friedman, Harry K. (Precinct 12)",no,,no,,neither
12,"Hummel, Amy","Hummel, Amy (Precinct 12)",yes,Amy Hummel,no,,brookline_by_design
12,"Jaret, Mazal","Jaret, Mazal (Precinct 12)",no,,no,,neither
12,"Karon, Jonathan A.","Karon, Jonathan A. (Precinct 12)",no,,no,,neither
12,"Lowenstein, Mark","Lowenstein, Mark (Precinct 12)",yes,Mark Lowenstein,yes,Mark Lowenstein,both
12,"McNulty, Eric J.","McNulty, Eric J. (Precinct 12)",no,,no,,neither
12,"Molloy, Margaret B.","Molloy, Margaret B. (Precinct 12)",no,,yes,Margaret Molloy,brookline_for_everyone
12,"Phillips, Jonathan","Phillips, Jonathan (Precinct 12)",no,,yes,Jonathan Phillips,brookline_for_everyone
12,"Redburn, Jeremy A.","Redburn, Jeremy A. (Precinct 12)",no,,yes,Jeremy Redburn,brookline_for_everyone
13,"Best, Michael Thomas","Best, Michael Thomas (Precinct 13)",no,,no,,neither
13,"Cuniberti, Leigha","Cuniberti, Leigha (Precinct 13)",no,,no,,neither
13,"Fernandez, Victoria","Fernandez, Victoria (Precinct 13)",no,,no,,neither
13,"Fine, Jonathan S.","Fine, Jonathan S. (Precinct 13)",no,,no,,neither
13,"Finkenbinder, Anne","Finkenbinder, Anne (Precinct 13)",no,,yes,Anne Finkenbinder,brookline_for_everyone
13,"Fischer, Andrew M.","Fischer, Andrew M. (Precinct 13)",no,,yes,Andrew Fischer,brookline_for_everyone
13,"Khan, Faiza","Khan, Faiza (Precinct 13)",no,,no,,neither
13,"Knott, Laura","Knott, Laura (Precinct 13)",no,,no,,neither
13,"Ladd, Brian","Ladd, Brian (Precinct 13)",no,,no,,neither
13,"Lohe, Werner","Lohe, Werner (Precinct 13)",no,,no,,neither
13,"MacKenzie, Kevin Thomas","MacKenzie, Kevin Thomas (Precinct 13)",no,,yes,Kevin MacKenzie,brookline_for_everyone
13,"Mendels, David","Mendels, David (Precinct 13)",no,,no,,neither
13,"Renkes, Thomas George","Renkes, Thomas George (Precinct 13)",no,,no,,neither
13,"Saner, Paul A.","Saner, Paul A. (Precinct 13)",no,,no,,neither
13,"Segel, Jennifer Ellen","Segel, Jennifer Ellen (Precinct 13)",no,,yes,Jennifer Segel,brookline_for_everyone
14,"Benka, Carla Wyman","Benka, Carla Wyman (Precinct 14)",yes,Carla Wyman Benka,no,,brookline_by_design
14,"Benka, Richard Dick","Benka, Richard Dick (Precinct 14)",yes,Richard Dick Benka,no,,brookline_by_design
14,"Eisenberg, David E.","Eisenberg, David E. (Precinct 14)",no,,no,,neither
14,"Fredkin, Richard","Fredkin, Richard (Precinct 14)",no,,no,,neither
14,"Hefter, Brenda","Hefter, Brenda (Precinct 14)",no,,no,,neither
14,"Hefter, Jesse","Hefter, Jesse (Precinct 14)",yes,Jesse Hefter,no,,brookline_by_design
14,"Lipson, Roger R.","Lipson, Roger R. (Precinct 14)",no,,no,,neither
14,"Lodish, Pamela C.","Lodish, Pamela C. (Precinct 14)",no,,no,,neither
14,"O'Connell, Kathleen M","O'Connell, Kathleen M (Precinct 14)",no,,yes,Kathleen O'Connell,brookline_for_everyone
14,"Ridruejo, Carlos","Ridruejo, Carlos (Precinct 14)",no,,no,,neither
14,"Roseman, Lynda E","Roseman, Lynda E (Precinct 14)",yes,Lynda E Roseman,no,,brookline_by_design
14,"Samih, Youkavet","Samih, Youkavet (Precinct 14)",no,,no,,neither
14,"Schoffmann, Sharon R.","Schoffmann, Sharon R. (Precinct 14)",no,,no,,neither
14,"Zelkha, Sami","Zelkha, Sami (Precinct 14)",no,,no,,neither
14,"Zelkha, Sassan","Zelkha, Sassan (Precinct 14)",no,,no,,neither
15,"Berger, Eileen Connell","Berger, Eileen Connell (Precinct 15)",yes,Eileen Connell Berger,no,,brookline_by_design
15,"Berger, Michael","Berger, Michael (Precinct 15)",no,,no,,neither
15,"Boit, Arisa Susan","Boit, Arisa Susan (Precinct 15)",no,,no,,neither
15,"Flanagan, Jane M.","Flanagan, Jane M. (Precinct 15)",no,,no,,neither
15,"Hallowell, Benedicte J.","Hallowell, Benedicte J. (Precinct 15)",no,,no,,neither
15,"Hallowell, Rory","Hallowell, Rory (Precinct 15)",yes,Rory Hallowell,no,,brookline_by_design
15,"Hatzieleftheriadis, Deborah","Hatzieleftheriadis, Deborah (Precinct 15)",no,,no,,neither
15,"Joseph, Hugh","Joseph, Hugh (Precinct 15)",yes,Hugh Joseph,no,,brookline_by_design
15,"Kahn, Janice S.","Kahn, Janice S. (Precinct 15)",yes,Janice S. Kahn,no,,brookline_by_design
15,"Knauf, Kristine L.","Knauf, Kristine L. (Precinct 15)",no,,no,,neither
15,"Krepchin, Ira P.","Krepchin, Ira P. (Precinct 15)",no,,no,,neither
15,"Nangle, Richard","Nangle, Richard (Precinct 15)",yes,Richard Nangle,no,,brookline_by_design
15,"Oge, Wadner","Oge, Wadner (Precinct 15)",yes,Wadner Oge,no,,brookline_by_design
15,"Rourke, James C.","Rourke, James C. (Precinct 15)",no,,no,,neither
15,"Senat-Fleury, Jean","Senat-Fleury, Jean (Precinct 15)",no,,no,,neither
16,"Abner, Deborah Moore","Abner, Deborah Moore (Precinct 16)",no,,no,,neither
16,"Baines-Walsh, Laura Kathryn","Baines-Walsh, Laura Kathryn (Precinct 16)",yes,Laura Kathryn Baines-Walsh,no,,brookline_by_design
16,"Bowman, Adrienne S.","Bowman, Adrienne S. (Precinct 16)",no,,no,,neither
16,"Chiumenti, Stephen","Chiumenti, Stephen (Precinct 16)",no,,no,,neither
16,"Day, David S.","Day, David S. (Precinct 16)",no,,no,,neither
16,"Frawley, Regina M.","Frawley, Regina M. (Precinct 16)",no,,no,,neither
16,"Gladstone, Scott C.","Gladstone, Scott C. (Precinct 16)",no,,no,,neither
16,"Harrington, Michael","Harrington, Michael (Precinct 16)",no,,no,,neither
16,"Jette, Julie A.","Jette, Julie A. (Precinct 16)",no,,no,,neither
16,"Jonas, Alisa G.","Jonas, Alisa G. (Precinct 16)",no,,no,,neither
16,"Leichtner, Judith","Leichtner, Judith (Precinct 16)",no,,no,,neither
16,"Murphy, Joslin","Murphy, Joslin (Precinct 16)",yes,Joslin Murphy,no,,brookline_by_design
16,"Murphy, Richard Myles","Murphy, Richard Myles (Precinct 16)",no,,no,,neither
16,"Ross, A. Joseph","Ross, A. Joseph (Precinct 16)",no,,no,,neither
16,"Thall, Carolyn R.","Thall, Carolyn R. (Precinct 16)",yes,Carolyn R. Thall,no,,brookline_by_design
17,"Chaky, Christopher Joseph","Chaky, Christopher Joseph (Precinct 17)",no,,yes,Christopher Chaky,brookline_for_everyone
17,"Davis, Jonathan H.","Davis, Jonathan H. (Precinct 17)",yes,Jonathan H. Davis,no,,brookline_by_design
17,"Dubin, Benjamin","Dubin, Benjamin (Precinct 17)",yes,Benjamin Dubin,yes,Ben Dubin,both
17,"Haenschen, Katherine Elizabeth","Haenschen, Katherine Elizabeth (Precinct 17)",no,,no,,neither
17,"Hudson, Elizabeth","Hudson, Elizabeth (Precinct 17)",no,,no,,neither
17,"Klein, Jonathan","Klein, Jonathan (Precinct 17)",no,,no,,neither
17,"Levin, Bruce","Levin, Bruce (Precinct 17)",yes,Bruce Levin,no,,brookline_by_design
17,"Park, Susan Kay","Park, Susan Kay (Precinct 17)",yes,Susan Kay Park,yes,Susan Park,both
17,"Paul, Rhea","Paul, Rhea (Precinct 17)",no,,yes,Rhea Paul,brookline_for_everyone
17,"Pehlke, Linda Olson","Pehlke, Linda Olson (Precinct 17)",yes,Linda Olson Pehlke,no,,brookline_by_design
17,"Reale, Chrisopher","Reale, Chrisopher (Precinct 17)",no,,no,,neither
17,"Roberts, Susan M.","Roberts, Susan M. (Precinct 17)",no,,no,,neither
17,"Schachter-Kahl, Livia","Schachter-Kahl, Livia (Precinct 17)",no,,no,,neither
17,"Schafer, Elizabeth A.","Schafer, Elizabeth A. (Precinct 17)",no,,no,,neither
17,"Valencia, Joseph","Valencia, Joseph (Precinct 17)",no,,yes,Joseph Valencia,brookline_for_everyone
AL,"Greene, Bernard W.","Greene, Bernard W. (Precinct AL)",no,,no,,neither
AL,"Kaufman, Ben","Kaufman, Ben (Precinct AL)",no,,no,,neither
AL,"Pearlman, David Arenas","Pearlman, David Arenas (Precinct AL)",no,,no,,neither
AL,"Rubenstein, Michael","Rubenstein, Michael (Precinct AL)",no,,no,,neither
AL,"VanScoyoc, John R.","VanScoyoc, John R. (Precinct AL)",no,,no,,neither
AL,"Vitolo, Hon. Tommy","Vitolo, Hon. Tommy (Precinct AL)",no,,no,,neither
AL,"Warren, Paul J.","Warren, Paul J. (Precinct AL)",no,,no,,neither
AL,"Wishinsky, Neil Alan","Wishinsky, Neil Alan (Precinct AL)",no,,no,,neither
