TMM,endorsed by BBD,endorsed by BFE
"Simansky, Harold (Precinct 9)",no,yes
"Tuckman, Gerald M (Precinct 9)",no,no
"Vanderkay, Judith A. (Precinct 9)",no,no
"Weintraub, Robert J. (Precinct 9)",yes,no
"Abbott, Suzette (Precinct 10)",no,no
"Ananian, C. Scott (Precinct 10)",no,no
"Barenbaum, Rachel (Precinct 10)",no,no
"Bowman, John L. (Precinct 10)",no,yes
"Erdman, Elizabeth (Precinct 10)",no,yes
"Florio, Katherine (Precinct 10)",no,no
"Isikoff, Jeremy Mark (Precinct 10)",no,no
"Kernan, Elizabeth (Precinct 10)",no,yes
"Klafter, David B (Precinct 10)",no,no
"Loscalzo, Kimberly Elizabeth (Precinct 10)",no,no
"Maddocks, Ariel C. (Precinct 10)",no,no
"Sheehan, Conor (Precinct 10)",no,no
"Stephens, Nicole E. (Precinct 10)",no,no
"Sweitzer, Naomi (Precinct 10)",no,yes
"Weaver, Karin L. (Precinct 10)",no,no
"Fischer, Shira H. (Precinct 11)",no,yes
"Garfinkel, Benjamin Philip (Precinct 11)",no,no
"Giora-Gorfajn, Shanna (Precinct 11)",no,yes
"Golden, Jonathan Joseph (Precinct 11)",no,no
"Gray, Martha E. (Precinct 11)",no,no
"Hilliard, John Franklin (Precinct 11)",no,no
"Leibowitz, Akiva (Precinct 11)",no,no
"Lescohier, David (Precinct 11)",no,no
"Lewis, Kenneth G. (Precinct 11)",no,no
"Lowe, David J. (Precinct 11)",no,no
"Mautner, Rebecca (Precinct 11)",no,yes
"Pollak, David M. (Precinct 11)",yes,yes
"Rumpler, John A. (Precinct 11)",no,no
"Shatz, Lisa F. (Precinct 11)",no,yes
"Wholey, Leonard N. (Precinct 11)",no,no
"Bignami, Petra Gospodnetic (Precinct 12)",yes,no
"Bruce, Stephanie A. (Precinct 12)",no,no
"Burstein, Michael A. (Precinct 12)",no,no
"Cavanaugh, Nancy Daly (Precinct 12)",no,no
"Cooke-Childs, Lee (Precinct 12)",no,no
"Dolbear, Emily (Precinct 12)",yes,no
"Friedman, Harry K. (Precinct 12)",no,no
"Hummel, Amy (Precinct 12)",yes,no
"Jaret, Mazal (Precinct 12)",no,no
"Karon, Jonathan A. (Precinct 12)",no,no
"Lowenstein, Mark (Precinct 12)",yes,yes
"McNulty, Eric J. (Precinct 12)",no,no
"Molloy, Margaret B. (Precinct 12)",no,yes
"Phillips, Jonathan (Precinct 12)",no,yes
"Redburn, Jeremy A. (Precinct 12)",no,yes
"Best, Michael Thomas (Precinct 13)",no,no
"Cuniberti, Leigha (Precinct 13)",no,no
"Fernandez, Victoria (Precinct 13)",no,no
"Fine, Jonathan S. (Precinct 13)",no,no
"Finkenbinder, Anne (Precinct 13)",no,yes
"Fischer, Andrew M. (Precinct 13)",no,yes
"Khan, Faiza (Precinct 13)",no,no
"Knott, Laura (Precinct 13)",no,no
"Ladd, Brian (Precinct 13)",no,no
"Lohe, Werner (Precinct 13)",no,no
"MacKenzie, Kevin Thomas (Precinct 13)",no,yes
"Mendels, David (Precinct 13)",no,no
"Renkes, Thomas George (Precinct 13)",no,no
"Saner, Paul A. (Precinct 13)",no,no
"Segel, Jennifer Ellen (Precinct 13)",no,yes
"Benka, Carla Wyman (Precinct 14)",yes,no
"Benka, Richard Dick (Precinct 14)",yes,no
"Eisenberg, David E. (Precinct 14)",no,no
"Fredkin, Richard (Precinct 14)",no,no
"Hefter, Brenda (Precinct 14)",no,no
"Hefter, Jesse (Precinct 14)",yes,no
"Lipson, Roger R. (Precinct 14)",no,no
"Lodish, Pamela C. (Precinct 14)",no,no
"O'Connell, Kathleen M (Precinct 14)",no,yes
"Ridruejo, Carlos (Precinct 14)",no,no
"Roseman, Lynda E (Precinct 14)",yes,no
"Samih, Youkavet (Precinct 14)",no,no
"Schoffmann, Sharon R. (Precinct 14)",no,no
"Zelkha, Sami (Precinct 14)",no,no
"Zelkha, Sassan (Precinct 14)",no,no
"Berger, Eileen Connell (Precinct 15)",yes,no
"Berger, Michael (Precinct 15)",no,no
"Boit, Arisa Susan (Precinct 15)",no,no
"Flanagan, Jane M. (Precinct 15)",no,no
"Hallowell, Benedicte J. (Precinct 15)",no,no
"Hallowell, Rory (Precinct 15)",yes,no
"Hatzieleftheriadis, Deborah (Precinct 15)",no,no
"Joseph, Hugh (Precinct 15)",yes,no
"Kahn, Janice S. (Precinct 15)",yes,no
"Knauf, Kristine L. (Precinct 15)",no,no
"Krepchin, Ira P. (Precinct 15)",no,no
"Nangle, Richard (Precinct 15)",yes,no
"Oge, Wadner (Precinct 15)",yes,no
"Rourke, James C. (Precinct 15)",no,no
"Senat-Fleury, Jean (Precinct 15)",no,no
"Abner, Deborah Moore (Precinct 16)",no,no
"Baines-Walsh, Laura Kathryn (Precinct 16)",yes,no
"Bowman, Adrienne S. (Precinct 16)",no,no
"Chiumenti, Stephen (Precinct 16)",no,no
"Day, David S. (Precinct 16)",no,no
"Frawley, Regina M. (Precinct 16)",no,no
"Gladstone, Scott C. (Precinct 16)",no,no
"Harrington, Michael (Precinct 16)",no,no
"Jette, Julie A. (Precinct 16)",no,no
"Jonas, Alisa G. (Precinct 16)",no,no
"Leichtner, Judith (Precinct 16)",no,no
"Murphy, Joslin (Precinct 16)",yes,no
"Murphy, Richard Myles (Precinct 16)",no,no
"Ross, A. Joseph (Precinct 16)",no,no
"Thall, Carolyn R. (Precinct 16)",yes,no
"Chaky, Christopher Joseph (Precinct 17)",no,yes
"Davis, Jonathan H. (Precinct 17)",yes,no
"Dubin, Benjamin (Precinct 17)",yes,yes
"Haenschen, Katherine Elizabeth (Precinct 17)",no,no
"Hudson, Elizabeth (Precinct 17)",no,no
"Klein, Jonathan (Precinct 17)",no,no
"Levin, Bruce (Precinct 17)",yes,no
"Park, Susan Kay (Precinct 17)",yes,yes
"Paul, Rhea (Precinct 17)",no,yes
"Pehlke, Linda Olson (Precinct 17)",yes,no
"Reale, Chrisopher (Precinct 17)",no,no
"Roberts, Susan M. (Precinct 17)",no,no
"Schachter-Kahl, Livia (Precinct 17)",no,no
"Schafer, Elizabeth A. (Precinct 17)",no,no
"Valencia, Joseph (Precinct 17)",no,yes
"Greene, Bernard W. (Precinct AL)",no,no
"Kaufman, Ben (Precinct AL)",no,no
"Pearlman, David Arenas (Precinct AL)",no,no
"Rubenstein, Michael (Precinct AL)",no,no
"VanScoyoc, John R. (Precinct AL)",no,no
"Vitolo, Hon. Tommy (Precinct AL)",no,no
"Warren, Paul J. (Precinct AL)",no,no
"Wishinsky, Neil Alan (Precinct AL)",no,no
