display_name,canonical_name,latest_precinct,precincts,sessions_count,sessions
"Benka, Carla Wyman","benka, carla wyman",14,13; 14,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Benka, Richard Dick","benka, richard dick",14,13; 14,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Benson, Jeffrey","benson, jeffrey",3,3,11,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting
"Berger, Eileen Connell","berger, eileen connell",15,15,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Berger, Michael","berger, michael",15,15,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Bernard, Lauren","bernard, lauren",17,8; 17,6,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting
"Best, Michael Thomas","best, michael thomas",13,13,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Biernbaum, Lee","biernbaum, lee",9,9,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Bignami, Petra Gospodnetic","bignami, petra gospodnetic",12,12,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Black, Ryan","black, ryan",7,6; 7,4,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2023 Annual Town Meeting
"Blouwolff, Joshua","blouwolff, joshua",11,11,3,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting
"Boehs, Sarah","boehs, sarah",4,4,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Bohrs, Harry","bohrs, harry",3,3,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Boit, Arisa Susan","boit, arisa susan",15,15,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Bowman, Adrienne","bowman, adrienne",16,16,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Bowman, John","bowman, john",10,10,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Brewster, David","brewster, david",13,13,1,May 2025 Annual Town Meeting
"Brown, Clifford","brown, clifford",14,14,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Brown, Deborah","brown, deborah",1,1,3,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting
"Bruce, Stephanie","bruce, stephanie",12,12,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Buono, Anthony","buono, anthony",9,9; 17,6,May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Burns, Tracie","burns, tracie",8,8,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Burstein, Michael","burstein, michael",12,12,12,May 2021 Annual Town Meeting | October 2021 Special Town Meeting | November 2021 Special Town Meeting | May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Caldeira, Matthew","caldeira, matthew",9,9,2,May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Carlson, Nels Richard","carlson, nels richard",8,8,4,May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
"Cavanaugh, Nancy Daly","cavanaugh, nancy daly",12,12,9,May 2022 Annual Town Meeting | November 2022 Special Town Meeting | January 2023 Special Town Meeting | May 2023 Annual Town Meeting | November 2023 Special Town Meeting | May 2024 Annual Town Meeting | November 2024 Special Town Meeting | May 2025 Annual Town Meeting | November 2025 Special Town Meeting
